zone_id,zone_name,school_type,shade_score,lat,lon,area_m2
274,General Zone 274,General,0.5513240552556471,37.43144218445507,-122.15650628476456,4.9852480001609425e-08
275,General Zone 275,General,0.5111342398860937,37.433711311959584,-122.16195394002435,8.013449999955191e-09
276,Lyman Building 3,General,0.51015162946872,37.42483407491568,-122.18160079183107,9.853300000055372e-08
277,Lyman Building 1,General,0.5398295178966775,37.425875456570466,-122.18148854000816,1.3780750000039276e-07
278,BOB (Robert S Moore S),General,0.5249963930777766,37.42148792791912,-122.168936940758,4.8563499999296986e-08
279,Bechtel International Center,General,0.5301966877257703,37.423222716951095,-122.17245722250287,6.41915550005752e-08
280,Branner Hall,Residential,0.6095792669436101,37.425474951061055,-122.16284623516881,3.1051949999616987e-07
281,Burnham Pavilion,General,0.5490005341817566,37.42829027077972,-122.16439581712373,4.2566719999967915e-08
282,The Knoll,General,0.49379951568515357,37.42099432992268,-122.17240204176306,7.178380000066193e-08
283,East Wing,General,0.4975582952639944,37.42663736674412,-122.16683167978877,4.011324049980877e-07
284,Columbae House,Residential,0.5393981939840868,37.423081450611754,-122.16875823016635,5.1247000000056925e-08
285,Coupa Café,Dining,0.5178280140996174,37.42620372981533,-122.1669739669352,6.328164999902382e-09
286,Cubberly Education Building,General,0.4635942273796742,37.42635997867266,-122.16834155588501,2.7532691999920783e-07
287,Dinkelspiel Memorial Music Audit...,General,0.506559801813246,37.42406167900902,-122.16989267437474,1.6543300000162034e-07
288,Drell House,Residential,0.5842644634707577,37.422635944175376,-122.16824893540122,1.666531500069245e-08
289,Enchanted Broccoli Forest,General,0.48865412521282847,37.41975256517615,-122.17402602057166,7.870849999959733e-08
290,Arrillaga Center for Sports and ...,StudentCenter,0.659083326056901,37.42998005742579,-122.1637982086117,3.700079999981497e-07
291,Burnham Pavilion,General,0.46305002499390496,37.4285027779204,-122.16433629594025,1.8189385000005004e-07
292,Ford Center For Sports & Recreation,StudentCenter,0.6037348188749213,37.42890599813845,-122.16425064978695,4.228135999984054e-07
293,Herbert Hoover Memorial Building,General,0.5422600560659658,37.42724350000001,-122.16632760000003,1.4393199999927427e-07
294,Kappa Sigma,General,0.4960190641411263,37.42024278612352,-122.17024180755966,1.1746499999810495e-07
295,Bambi,General,0.4727060512651885,37.427141694185,-122.17581828360584,8.174549999828098e-08
296,Montag Hall,Residential,0.5822243260054804,37.4295099,-122.16445619999998,7.568399999928741e-08
297,Stanford Art Gallery,Arts,0.606999355309861,37.42800700081258,-122.16769874423989,1.1970200000115146e-07
298,Bing Wing,General,0.4815821027496843,37.42692041901469,-122.16761475047691,4.5716444000168354e-07
299,Galvez Modular,General,0.5222890475819,37.42590719953844,-122.16640012472956,9.944450000109899e-08
300,HEPL South,General,0.4685347464993768,37.42712579833803,-122.17464987188342,3.4798000000178647e-07
301,General Zone 301,General,0.4651681721168608,37.42590216394811,-122.16886337494635,8.466500000101118e-09
302,Barnum Center,General,0.5131354631568148,37.42567902904115,-122.16878376859903,9.296082500063227e-08
303,Lathrop Library,Library,0.4440635121610106,37.429209774726196,-122.1673282085988,5.541400900009076e-07
304,Stanford Bookstore,General,0.5237429901498206,37.42482215716343,-122.16870991211213,3.1091922999948563e-07
305,General Zone 305,General,0.5326091333722661,37.43003435659078,-122.16695323135568,5.209800000124873e-08
306,Hoover Tower,General,0.5575852079462534,37.427622468116994,-122.16699256131439,1.4634377999691473e-07
307,General Zone 307,General,0.5116300348301195,37.42978315713282,-122.16585941259535,1.4643160000061396e-08
308,Harmony House,Residential,0.5622956472941245,37.42428550804698,-122.1730602816383,1.3721500000594966e-08
309,Haas Center for Public Service,General,0.5395186194768704,37.422498713932896,-122.16744827142473,4.44715000001994e-08
310,General Zone 310,General,0.48708322512620744,37.42269629878957,-122.16686402382254,7.157100000141143e-08
311,General Zone 311,General,0.5038971420705636,37.42190410131699,-122.1682582588102,2.2020000000165947e-08
312,General Zone 312,General,0.4678456381342266,37.425604760379855,-122.16195303103122,1.5658949999898559e-07
313,General Zone 313,General,0.4625350743415457,37.420799581504774,-122.17292442114373,6.758500000089041e-09
314,William J. Patterson Building,General,0.5562648414677925,37.42751474720713,-122.16144299972716,1.360455600018772e-07
315,Alpha Phi Kappa Kappa Gamma,General,0.5435980120512206,37.42089923982213,-122.17014676103838,1.0808150000043508e-07
316,General Zone 316,General,0.5295974206093698,37.420471693292974,-122.17137709480129,1.2252300000055633e-07
317,Lantana,General,0.500895294441427,37.42569703515385,-122.16075136444947,1.1465202500044304e-07
318,General Zone 318,General,0.47732943200708455,37.4253652386769,-122.16078427478239,2.906300000026436e-08
319,Jerry,General,0.4756437042671086,37.42108139623997,-122.17367329388082,8.970699999807574e-08
320,Kennedy Grove,General,0.48502428981645956,37.42390460781303,-122.17284775298158,6.414500000010283e-08
321,Kimball Hall,Residential,0.584922666470612,37.42506250889122,-122.16187252404457,2.0945652500033388e-07
322,Koret Pavillion,General,0.5314595922700063,37.422088825237616,-122.16796247253511,5.837449999842837e-08
323,The Well House (Robert S Moore N),Residential,0.5960197376717731,37.42188539459327,-122.16916019381578,5.633099999994341e-08
324,Landau Economics Building,General,0.48799338969459427,37.42861793418793,-122.16583847802994,1.6904450000115827e-07
325,Littlefield Center,General,0.5554865280663194,37.430330018175866,-122.16754022486109,1.726163499974378e-07
326,Lou Henry Hoover Building,General,0.5337896916695769,37.42768099999999,-122.16618489999996,1.5052000000211073e-07
327,Castaño,General,0.5154354052511401,37.42507041743908,-122.16094767337401,9.909550000025006e-08
328,Mariposa,General,0.5211720746234352,37.42319853289156,-122.17182652966218,2.3843500000106396e-08
329,Mars,General,0.501960006242779,37.42268782958147,-122.16862849476344,3.7381500000285016e-08
330,Memorial Hall,Residential,0.5547730989501157,37.42904305772644,-122.16649096350125,3.8327120000045785e-07
331,Munger Building 1,General,0.49559726786512615,37.423291356764814,-122.16565062803114,2.953290000006513e-07
